N;Nombre;Lugar;Tipo;Latitud;Longitud;;;;
;;;;;;;;;(iglesiacatolicainmaculadaconcepcion)-[:DISTANCIA_A {distancia:18, recorrido:4}]->(elshaddaiiglesiacristiana),
;;;;;;;;;(iglesiaevangelicaapostolicadelnombredejesus)-[:DISTANCIA_A {distancia:56, recorrido:8}]->(elshaddaiiglesiacristiana),
;;;;;;;;;(iglesiaevangelicaapostolicadelnombredejesus)-[:DISTANCIA_A {distancia:5, recorrido:16}]->(parroquia5dejunioduran),
;;;;;;;;;(elshaddaiiglesiacristiana)-[:DISTANCIA_A {distancia:149, recorrido:25}]->(parroquia5dejunioduran),
;;;;;;;;;(elshaddaiiglesiacristiana)-[:DISTANCIA_A {distancia:198, recorrido:3}]->(iglesiacatolicasangabrielarcangelduran),
;;;;;;;;;(parroquia5dejunioduran)-[:DISTANCIA_A {distancia:54159, recorrido:11}]->(iglesiacatolicasangabrielarcangelduran),
;;;;;;;;;(parroquia5dejunioduran)-[:DISTANCIA_A {distancia:94, recorrido:15}]->(localiglesiadediosenduran),
;;;;;;;;;(iglesiacatolicasangabrielarcangelduran)-[:DISTANCIA_A {distancia:78, recorrido:11}]->(localiglesiadediosenduran),
;;;;;;;;;(iglesiacatolicasangabrielarcangelduran)-[:DISTANCIA_A {distancia:218, recorrido:46}]->(parroquiajesusdelgranpoder),
;;;;;;;;;(localiglesiadediosenduran)-[:DISTANCIA_A {distancia:272, recorrido:41}]->(parroquiajesusdelgranpoder),
;;;;;;;;;(localiglesiadediosenduran)-[:DISTANCIA_A {distancia:311, recorrido:47}]->(asambleadeiglesiascristianascentral),
;;;;;;;;;(parroquiajesusdelgranpoder)-[:DISTANCIA_A {distancia:43, recorrido:7}]->(asambleadeiglesiascristianascentral),
;;;;;;;;;(parroquiajesusdelgranpoder)-[:DISTANCIA_A {distancia:53, recorrido:7}]->(iglesiaadventistadel7modialoshelechos),
;;;;;;;;;(asambleadeiglesiascristianascentral)-[:DISTANCIA_A {distancia:13, recorrido:16}]->(iglesiaadventistadel7modialoshelechos),
;;;;;;;;;(asambleadeiglesiascristianascentral)-[:DISTANCIA_A {distancia:174, recorrido:38}]->(concatedralsantuariocatolicodivinonino),
;;;;;;;;;(iglesiaadventistadel7modialoshelechos)-[:DISTANCIA_A {distancia:179, recorrido:45}]->(concatedralsantuariocatolicodivinonino),
;;;;;;;;;(iglesiaadventistadel7modialoshelechos)-[:DISTANCIA_A {distancia:107, recorrido:16}]->(iglesiamdsduran),
;;;;;;;;;(concatedralsantuariocatolicodivinonino)-[:DISTANCIA_A {distancia:247, recorrido:36}]->(iglesiamdsduran),
;;;;;;;;;(concatedralsantuariocatolicodivinonino)-[:DISTANCIA_A {distancia:331, recorrido:57}]->(estaciondelaaeroviaduran),
