N;Nombre;Lugar;Tipo;Latitud;Longitud;;
;;;;;;;(medigroup)-[:DISTANCIA { distancia:1.97, recorrido: 6.6}]->(centrodesaludtipocelrecreo),
;;;;;;;(medigroup)-[:DISTANCIA { distancia:2.6, recorrido: 5.8}]->(clinicamoreno),
;;;;;;;(centrodesaludtipocelrecreo)-[:DISTANCIA { distancia:0.29, recorrido: 0.4}]->(clinicamoreno),
;;;;;;;(centrodesaludtipocelrecreo)-[:DISTANCIA { distancia:2.85, recorrido: 6.1}]->(hospitalgeneralde120camasduran),
;;;;;;;(clinicamoreno)-[:DISTANCIA { distancia:3.09, recorrido: 6.2}]->(hospitalgeneralde120camasduran),
;;;;;;;(clinicamoreno)-[:DISTANCIA { distancia:3.6, recorrido: 4.3}]->(artesgraficassenefelder),
;;;;;;;(hospitalgeneralde120camasduran)-[:DISTANCIA { distancia:5, recorrido: 6.7}]->(pisicinaroquetasdemar),
;;;;;;;(artesgraficassenefelder)-[:DISTANCIA { distancia:5, recorrido: 6.1}]->(pisicinaroquetasdemar),
;;;;;;;(parquesanjose)-[:DISTANCIA { distancia:3.24, recorrido: 4.6}]->(parqueprimavera),
;;;;;;;(parqueprimavera)-[:DISTANCIA { distancia:0.97, recorrido: 1.3}]->(parque),
;;;;;;;(parque)-[:DISTANCIA { distancia:0.78, recorrido: 1.3}]->(elshaddaiiglesiacristiana),
;;;;;;;(elshaddaiiglesiacristiana)-[:DISTANCIA { distancia:2.1, recorrido: 2.8}]->(iglesiamdsduran),
;;;;;;;(iglesiamdsduran)-[:DISTANCIA { distancia:4.89, recorrido: 6.8}]->(parquesanjose),
;;;;;;;(piscinaaliss)-[:DISTANCIA { distancia:1.44, recorrido: 2.2}]->(parquesanjose),
;;;;;;;(piscinaaliss)-[:DISTANCIA { distancia:2.04, recorrido: 3.3}]->(parqueprimavera),
;;;;;;;(piscinaaliss)-[:DISTANCIA { distancia:2.95, recorrido: 4.4}]->(parque),
;;;;;;;(piscinaaliss)-[:DISTANCIA { distancia:1.99, recorrido: 3.1}]->(elshaddaiiglesiacristiana),
;;;;;;;(piscinaaliss)-[:DISTANCIA { distancia:3.46, recorrido: 5.4}]->(iglesiamdsduran)
