;;Origigen;;;Destino;;;;;
Parque San Jose;parquesanjose;2;3.24;4.6;10;Parque Primavera;parqueprimavera;;;(parquesanjose)-[:DISTANCIA { distancia:3.24, recorrido: 4.6}]->(parqueprimavera),
Parque Primavera;parqueprimavera;10;0.97;1.3;19;Parque;parque;;;(parqueprimavera)-[:DISTANCIA { distancia:0.97, recorrido: 1.3}]->(parque),
Parque;parque;19;0.78;1.3;28;El Shaddai Iglesia Cristiana;elshaddaiiglesiacristiana;;;(parque)-[:DISTANCIA { distancia:0.78, recorrido: 1.3}]->(elshaddaiiglesiacristiana),
El Shaddai Iglesia Cristiana;elshaddaiiglesiacristiana;28;2.1;2.8;37;Iglesia MDS Durán;iglesiamdsduran;;;(elshaddaiiglesiacristiana)-[:DISTANCIA { distancia:2.1, recorrido: 2.8}]->(iglesiamdsduran),
Iglesia MDS Durán;iglesiamdsduran;37;4.89;6.8;2;Parque San Jose;parquesanjose;;;(iglesiamdsduran)-[:DISTANCIA { distancia:4.89, recorrido: 6.8}]->(parquesanjose),
;;;;;;;;;;
Piscina Aliss;piscinaaliss;1;1.44;2.2;2;Parque San Jose;parquesanjose;;;(piscinaaliss)-[:DISTANCIA { distancia:1.44, recorrido: 2.2}]->(parquesanjose),
Piscina Aliss;piscinaaliss;1;2.04;3.3;10;Parque Primavera;parqueprimavera;;;(piscinaaliss)-[:DISTANCIA { distancia:2.04, recorrido: 3.3}]->(parqueprimavera),
Piscina Aliss;piscinaaliss;1;2.95;4.4;19;Parque;parque;;;(piscinaaliss)-[:DISTANCIA { distancia:2.95, recorrido: 4.4}]->(parque),
Piscina Aliss;piscinaaliss;1;1.99;3.1;28;El Shaddai Iglesia Cristiana;elshaddaiiglesiacristiana;;;(piscinaaliss)-[:DISTANCIA { distancia:1.99, recorrido: 3.1}]->(elshaddaiiglesiacristiana),
Piscina Aliss;piscinaaliss;1;3.46;5.4;37;Iglesia MDS Durán;iglesiamdsduran;;;(piscinaaliss)-[:DISTANCIA { distancia:3.46, recorrido: 5.4}]->(iglesiamdsduran),
